NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Start Date,Primary Completion Date,Completion Date
NCT04201821,Fecal Microbial Transplantation for the Treatment of Fecal Incontinence in Women,RECRUITING,Fecal Incontinence,BIOLOGICAL: fecal microbial transplantation (FMT),University of Pennsylvania,,INTERVENTIONAL,"January 14, 2021","January 14, 2021","September 1, 2022"
NCT05088655,A Bioequivalence Study of Hetrombopag in Healthy Subjects,ACTIVE_NOT_RECRUITING,Sever Aplastic Anaemia,DRUG: Hetrombopag Olamine Tablet,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL,"June 25, 2021","June 25, 2021","July 30, 2022"
NCT04646889,Pharmacokinetic Study of AR882 in Subjects With Various Degrees of Renal Impairment,COMPLETED,Renal Impairment,DRUG: AR882 Single Dose|DRUG: AR882 Multiple Dose,Arthrosi Therapeutics,Iqvia Pty Ltd,INTERVENTIONAL,"January 14, 2021","January 14, 2021","June 27, 2022"
NCT05130788,WeChat Quit Coach Pilot Study,RECRUITING,Smoking Cessation,BEHAVIORAL: WeChat Quit Coach|BEHAVIORAL: Leaflet|DRUG: Optional Nicotine Replacement Therapy (NRT) Patches or Lozenges,NYU Langone Health,Asian Americans for Equality|Chinese American Planning Council,INTERVENTIONAL,"January 10, 2022","January 10, 2022","July 31, 2022"
NCT04154488,A Study of Mavorixafor in Participants With Severe Congenital Neutropenia and Chronic Idiopathic Neutropenia Disorders,RECRUITING,Neutropenia,DRUG: Mavorixafor,X4 Pharmaceuticals,,INTERVENTIONAL,"October 16, 2020","October 16, 2020","June 30, 2022"
NCT05413096,Combination of Diclofenac Potassium and Propolis in the Therapy of Oral Aphthosis,ACTIVE_NOT_RECRUITING,Oral Mucositis|ORAS|Oral Infection|Oral Ulcer,COMBINATION_PRODUCT: Combination of diclofenac potassium and propolis,Al-Azhar University,,INTERVENTIONAL,"June 1, 2021","June 1, 2021","June 30, 2022"
NCT04587830,ADI-PEG 20 Plus Radiotherapy and Temozolomide in Subjects With Glioblastoma Multiforme,RECRUITING,Glioblastoma Multiforme (GBM),DRUG: ADI-PEG20|DRUG: Temozolomide,Polaris Group,,INTERVENTIONAL,"September 14, 2020","September 14, 2020","July 31, 2022"
NCT04921930,Evaluation of the Effect of Artesunate in Friedreich Ataxia (FA),NOT_YET_RECRUITING,Friedreich Ataxia,DRUG: Artesunate Oral Product,"Institut National de la Santé Et de la Recherche Médicale, France",Imagine Institute,INTERVENTIONAL,"July 1, 2021","July 1, 2021","June 30, 2022"
NCT04349930,The CBD-IC Randomized Controlled Trial: Evaluation of Hemp Cannabidiol SuppositoRies for Pain and Urinary SymptOms in INterstitial Cystitis (CHRONIC),WITHDRAWN,Interstitial Cystitis|Bladder Pain Syndrome,DRUG: Cannabidiol vaginal suppository|DRUG: Placebo vaginal suppository,University of New Mexico,,INTERVENTIONAL,January 2021,January 2021,July 2022
NCT04602221,"A Study in Healthy Men to Test Whether BI 409306, BI 425809 or Lamotrigine Can Reverse the Memory Problems Caused by Ketamine",COMPLETED,Healthy,DRUG: Lamotrigine|DRUG: BI 409306|DRUG: Placebo|DRUG: BI 425809,Boehringer Ingelheim,,INTERVENTIONAL,"December 1, 2020","December 1, 2020","August 1, 2022"
NCT04088630,Fingolimod as a Treatment of Cerebral Edema After Intracerebral Hemorrhage,RECRUITING,"Intracerebral Hemorrhage|Cerebral Edema|Stroke Hemorrhagic|Intracerebral Hemorrhage, Hypertensive|Intracerebral Hemorrhage Intraparenchymal",DRUG: Fingolimod 0.5 mg|DRUG: Placebo|OTHER: Standard of care,Wake Forest University Health Sciences,,INTERVENTIONAL,"August 7, 2020","August 7, 2020",September 2022
NCT05304130,A Study in Healthy Japanese Participants to Evaluate the Safety and Pharmacokinetics of Otilimab,NOT_YET_RECRUITING,"Arthritis, Rheumatoid",BIOLOGICAL: Otilimab,GlaxoSmithKline,,INTERVENTIONAL,"March 23, 2022","March 23, 2022","June 10, 2022"
NCT04114292,TUDCA as a Therapy for Ulcerative Colitis (UC),RECRUITING,Ulcerative Colitis,"DRUG: Tauroursoursodeoxycholic acid, brand name Tudcabil",Washington University School of Medicine,Crohn's and Colitis Foundation,INTERVENTIONAL,"January 17, 2019","January 17, 2019","July 31, 2022"
NCT04728230,"Olaparib and Durvalumab With Carboplatin, Etoposide, and/or Radiation Therapy for the Treatment of Extensive-Stage Small Cell Lung Cancer, PRIO Trial",RECRUITING,Extensive Stage Lung Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,DRUG: Carboplatin|BIOLOGICAL: Durvalumab|DRUG: Etoposide|DRUG: Olaparib|RADIATION: Radiation Therapy,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"January 5, 2021","January 5, 2021","July 1, 2022"
NCT02626130,Tremelimumab With or Without Cryoablation in Treating Patients With Metastatic Kidney Cancer,COMPLETED,Clear Cell Renal Cell Carcinoma|Metastatic Renal Cell Cancer|Stage IV Renal Cell Cancer AJCC v7,PROCEDURE: Cryosurgery|OTHER: Laboratory Biomarker Analysis|PROCEDURE: Therapeutic Conventional Surgery|BIOLOGICAL: Tremelimumab,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"March 30, 2016","March 30, 2016","June 20, 2022"
NCT04493619,PLX2853 as a Single Agent in Advanced Gynecological Malignancies and in Combination With Carboplatin in Platinum-Resistant Epithelial Ovarian Cancer,TERMINATED,Gynecologic Neoplasms|Epithelial Ovarian Cancer,DRUG: PLX2853|DRUG: Carboplatin,Opna-IO LLC,,INTERVENTIONAL,"August 11, 2020","August 11, 2020","June 30, 2022"
NCT04219319,LCAR-T2C CAR-T Cells in Relapsed or Refractory CD4+ T-cell Lymphoma,TERMINATED,CD4+ T Lymphocyte Tumor (T Cell Lymphoma and T Cell Leukemia),DRUG: Efficacy of LCAR-T2C CAR-T cells,The First Affiliated Hospital with Nanjing Medical University,Nanjing Legend Biotechnology Co. The First Affiliated Hospital of USTC west district；The First Affiliated Hospital of the Air Force Medical University,INTERVENTIONAL,"December 15, 2021","December 15, 2021","July 20, 2022"
NCT04283019,The Pharmacokinetic and Pharmacodynamic Effects of Oral Cannabidiol (CBD) Under Acute and Chronic Exposure Conditions,RECRUITING,"Cannabis, Drug Effects",DRUG: CBD|DRUG: THC,Johns Hopkins University,,INTERVENTIONAL,"August 15, 2021","August 15, 2021","September 1, 2022"
NCT03477019,Ultrasound-enhanced Delivery of Chemotherapy to Patients With Liver Metastasis From Breast- and Colorectal Cancer,RECRUITING,Colorectal Neoplasms|Breast Neoplasms,DRUG: SonoVue|PROCEDURE: Focused Ultrasound,St. Olavs Hospital,,INTERVENTIONAL,"November 12, 2018","November 12, 2018",September 2022
NCT05306366,A Brain Imaging PET Study of [11C]-Lu AF90103 in Healthy Adult Male Participants,COMPLETED,Healthy Young Men,DRUG: [11C]-Lu AF90103,H. Lundbeck A/S,,INTERVENTIONAL,"March 23, 2022","March 23, 2022","June 7, 2022"
NCT04959266,"A Study to Assess the Effects of Itraconazole, Rifampicin, and Omeprazole on Pharmacokinetics of Adavosertib",TERMINATED,Advanced Solid Tumours,DRUG: Adavosertib|DRUG: Itraconazole|DRUG: Rifampicin|DRUG: Omeprazole,AstraZeneca,Parexel,INTERVENTIONAL,"June 28, 2021","June 28, 2021","June 1, 2022"
NCT04058392,Camu Camu in ART-treated People Living With HIV,COMPLETED,HIV Infections,BIOLOGICAL: Camu Camu Capsules,McGill University Health Centre/Research Institute of the McGill University Health Centre,,INTERVENTIONAL,"November 9, 2020","November 9, 2020","July 20, 2022"
NCT04554992,Convalescent Plasma for the Treatment of COVID-19 (Coronavirus Disease 2019),ACTIVE_NOT_RECRUITING,Covid19,BIOLOGICAL: COVID 19 Convalescent Plasma,The Methodist Hospital Research Institute,,INTERVENTIONAL,"March 20, 2020","March 20, 2020",June 2022
NCT05351892,"A Study to Learn More About How Much of the Study Treatment Elinzanetant (or BAY3427080) Gets Absorbed, How Safe it is and How it Affects the Body in Healthy Female and Male Participants",COMPLETED,Vasomotor Symptoms as a Sex Hormone-dependent Disorder in Women and Men|Hot Flashes|Healthy Volunteers,DRUG: Elinzanetant (BAY3427080),Bayer,,INTERVENTIONAL,"May 4, 2022","May 4, 2022","June 9, 2022"
NCT05047692,Safety and Immunogenicity Study of AdCLD-CoV19-1: A COVID-19 Preventive Vaccine in Healthy Volunteers,ACTIVE_NOT_RECRUITING,Covid19,BIOLOGICAL: AdCLD-CoV19-1,"Cellid Co., Ltd.",,INTERVENTIONAL,"September 9, 2021","September 9, 2021",September 2022
NCT04258592,18F-MFBG PET Imaging of the Norepinephrine Transporter in Neural Crest and Neuroendocrine Tumors,TERMINATED,Neural Crest Tumor|Neuroendocrine Tumors,DRUG: (18F)MFBG|DEVICE: PET/CT|OTHER: Venous blood samples,Universitaire Ziekenhuizen Leuven,,INTERVENTIONAL,"February 7, 2020","February 7, 2020","July 7, 2022"
NCT05111392,Hydration Dynamics and Influence of Beverage Composition,RECRUITING,Hydration|Fluid Retention|Dehydration,BIOLOGICAL: Placebo|BIOLOGICAL: Oral Rehydration Solution 1|BIOLOGICAL: Oral Rehydration Solution 2,University of Illinois at Chicago,,INTERVENTIONAL,"September 3, 2021","September 3, 2021",June 2022
NCT04065555,Intratumoral Microdosing of TAK-981 in Head and Neck Cancer,COMPLETED,Head and Neck Cancer,DRUG: TAK-981|BIOLOGICAL: Cetuximab|BIOLOGICAL: Avelumab|COMBINATION_PRODUCT: TAK-981 + Cetuximab|COMBINATION_PRODUCT: TAK-981 + Avelumab,Presage Biosciences,Takeda,INTERVENTIONAL,"October 7, 2020","October 7, 2020","June 20, 2022"
NCT04916431,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of mRNA-6231 in Healthy Adults",COMPLETED,Healthy Volunteers,DRUG: mRNA-6231,"ModernaTX, Inc.",,INTERVENTIONAL,"July 28, 2021","July 28, 2021","August 2, 2022"
NCT02963831,"A Phase 1/2 Study to Investigate the Safety, Biologic and Anti-tumor Activity of ONCOS-102 in Combination With Durvalumab in Subjects With Advanced Peritoneal Malignancies",COMPLETED,Colorectal Cancer|Platinum-resistant Ovarian Cancer|Appendiceal Cancer,BIOLOGICAL: ONCOS-102|DRUG: Durvalumab,Ludwig Institute for Cancer Research,"Cancer Research Institute, New York City|MedImmune LLC|Targovax ASA",INTERVENTIONAL,"September 7, 2017","September 7, 2017","June 25, 2022"
NCT05381142,"A Study to Learn More About How the Study Treatment Elinzanetant (or BAY3427080) Moves Into, Through and Out of the Body, How Safe it is and How it Affects the Body After Taking Single and Multiple Doses in Healthy Women Aged 40 to 65 Years",COMPLETED,Vasomotor Symptoms as a Sex Hormone-dependent Disorder in Women and Men|Hot Flashes|Healthy Volunteers,DRUG: Elinzanetant (BAY3427080)|DRUG: Placebo,Bayer,,INTERVENTIONAL,"May 23, 2022","May 23, 2022","July 11, 2022"
NCT05392842,Corchorus Olitorius Buccal Films for the Treatment of Recurrent Minor Aphthous Ulcerations,COMPLETED,Aphthous Ulcer Recurrent,DIETARY_SUPPLEMENT: Corchorus Olitorius Buccal fast dissolving Films|DIETARY_SUPPLEMENT: plain mucoadhesive fast dissolving film,Deraya University,,INTERVENTIONAL,"April 10, 2022","April 10, 2022","June 18, 2022"
NCT04766931,The Safety and Efficacy of FB2001 in Healthy Subjects and Patients With COVID-19 Infection,RECRUITING,Covid19,DRUG: FB2001|DRUG: FB2001 Placebo,Frontier Biotechnologies Inc.,,INTERVENTIONAL,"March 26, 2021","March 26, 2021",July 2022
NCT03953131,Gallium Ga 68-DOTATATE PET/CT in Predicting Tumor Growth in Patients With Meningiomas,UNKNOWN,Meningioma,PROCEDURE: Computed Tomography|RADIATION: Gallium Ga 68-DOTATATE|PROCEDURE: Positron Emission Tomography,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"January 10, 2019","January 10, 2019","September 1, 2022"
NCT04201431,"Safety, Immunogenicity and Efficacy of the Blood-stage Plasmodium Vivax Malaria Vaccine Candidate PvDBPII in Matrix M1",RECRUITING,"Malaria, Vivax",BIOLOGICAL: PvDBPII/Matrix-M1,University of Oxford,,INTERVENTIONAL,"January 24, 2020","January 24, 2020",August 2022
NCT04935931,Naltrexone Neuroimaging,COMPLETED,Eating Disorders|Binge Eating|Purging (Eating Disorders),DRUG: Naltrexone,Children's Mercy Hospital Kansas City,University of Kansas Medical Center,INTERVENTIONAL,"July 16, 2021","July 16, 2021","June 15, 2022"
NCT04852419,A PHASE 1B STUDY OF ZN-C5 IN CHINESE SUBJECTS,COMPLETED,Breast Neoplasms,DRUG: ZN-c5,Zentera Therapeutics HK Limited,,INTERVENTIONAL,"May 31, 2021","May 31, 2021","June 23, 2022"
NCT03893019,MB-CART20.1 Melanoma,RECRUITING,Melanoma (Skin),BIOLOGICAL: MB-CART20.1,Miltenyi Biomedicine GmbH,DLR German Aerospace Center,INTERVENTIONAL,"March 8, 2019","March 8, 2019",July 2022
NCT00167219,Stem Cell Transplant for Juvenile Myelomonocytic Leukemia (JMML),RECRUITING,Juvenile Myelomonocytic Leukemia,BIOLOGICAL: Stem Cell Transplant|DRUG: Preparative Regimen,"Masonic Cancer Center, University of Minnesota",,INTERVENTIONAL,"November 18, 1999","November 18, 1999","July 28, 2022"
NCT04933019,Detection of Clindamycin Resistance Antibiotic Genes Among Staphylococcus Isolates by Using Real Time PCR,NOT_YET_RECRUITING,Staphylococcus Isolates,GENETIC: Detection of Clinclidamycin Resistance Antibiotic Genes among Staphylococcus Isolates by Using Real Time PCR,Sohag University,,INTERVENTIONAL,"July 1, 2021","July 1, 2021","July 1, 2022"
NCT04478019,SHIELD Study: Using Naso-oropharyngeal Antiseptic Decolonization to Reduce COVID-19 Viral Shedding,COMPLETED,COVID-19|SARS-CoV 2,DRUG: 10% Povidone-iodine nasal decolonization swab plus 0.12% CHG oral rinse,"University of Wisconsin, Madison",,INTERVENTIONAL,"July 7, 2020","July 7, 2020","June 30, 2022"
NCT04685486,Virtual Reality for Pain Management in Burn Patients,RECRUITING,Pain,OTHER: Virtual Reality,Weill Medical College of Cornell University,,INTERVENTIONAL,"June 1, 2018","June 1, 2018",August 2022
NCT05105919,Assessing Pharmacokinetics and Pharmacodynamics of Daily Enteric-coated Aspirin in Patients With StablE Diabetes,RECRUITING,"Diabetes Mellitus, Type 2",DRUG: Aspirin 80 mg EC Tab,Montreal Heart Institute,Institut de Recherches Cliniques de Montreal,INTERVENTIONAL,"August 26, 2021","August 26, 2021","August 1, 2022"
NCT00797719,Short Neoadjuvant Hemithoracic IMRT for MPM,RECRUITING,Malignant Pleural Mesothelioma,OTHER: Pre-op RT +/- chemotherapy,"University Health Network, Toronto",,INTERVENTIONAL,October 2008,October 2008,July 2022
NCT04249219,Responses to E-Cigarette Advertising,COMPLETED,E-Cig Use,OTHER: Viewing e-cigarette ads,"University of Massachusetts, Worcester",National Institute on Drug Abuse (NIDA),INTERVENTIONAL,"August 4, 2021","August 4, 2021","August 15, 2022"
NCT05083286,Duration of Botox Using OLD Versus COLD for Treatment of Glabellar Lines,RECRUITING,Glabellar Frown Lines,DRUG: OnabotulinumtoxinA,Clinical Testing of Beverly Hills,Allergan,INTERVENTIONAL,"October 20, 2021","October 20, 2021","August 1, 2022"
NCT05364255,"A Study to Assess the Mass Balance Recovery, Metabolite Profile and Metabolite Identification of [14C]AZD9833",COMPLETED,"ER-positive, HER2-negative Breast Cancer","DRUG: [14C]AZD9833 Oral Solution, 75 mg",AstraZeneca,Quotient Sciences,INTERVENTIONAL,"May 10, 2022","May 10, 2022","June 20, 2022"
NCT05202912,Food Effect Study of IDX-1197 in Healthy Subjects,COMPLETED,Healthy Male,DRUG: IDX-1197(After a meal)|DRUG: IDX-1197(fasting),"Idience Co., Ltd.",,INTERVENTIONAL,"January 16, 2022","January 16, 2022","July 23, 2022"
NCT04014712,O2 Transport and Utilization in Health and Lung Disease,UNKNOWN,COPD|Tetrahydrobiopterin Deficiency|Oxidative Stress,DRUG: Tetrahydrobiopterin|DRUG: Placebo oral tablet,"University of Massachusetts, Amherst",,INTERVENTIONAL,August 2019,August 2019,August 2022
NCT04607655,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Orally Administered GB1211 in Participants With Suspected or Confirmed Non-alcoholic Steatohepatitis (NASH) and Liver Fibrosis",WITHDRAWN,Non-alcoholic Steatohepatitis (NASH),DRUG: GB1211|DRUG: Placebo,Galecto Biotech AB,Covance,INTERVENTIONAL,March 2021,March 2021,July 2022
NCT05310487,"Phase 1 Study of 162, a Novel Neutralizing Antibody Targeting Hepatitis B Surface Antigen, in Healthy Adult Subjects",RECRUITING,Chronic Hepatitis B,BIOLOGICAL: 162|OTHER: Placebo,"Yangshengtang Co., Ltd",Syneos Health,INTERVENTIONAL,"May 30, 2022","May 30, 2022","August 23, 2022"
NCT03594487,Fecal Microbiota Transplantation (FMT) of FMP30 in Relapsing-Remitting Multiple Sclerosis,ACTIVE_NOT_RECRUITING,Relapsing Remitting Multiple Sclerosis,DRUG: FMP30 Donor Stool|PROCEDURE: Fecal Microbiota Transplantation (FMT) of FMP30 Donor Stool|OTHER: Observational Control,Jeffrey Gelfand,,INTERVENTIONAL,"November 16, 2018","November 16, 2018","July 1, 2022"
NCT05216887,"A Study to Assess the Pharmacokinetic (PK) Comparability of 2 Fixed Subcutaneous (SC) Doses of Aducanumab (BIIB037) With a Single, Weight-Based Intravenous (IV) Dose in Healthy Volunteers",COMPLETED,Healthy Volunteer,BIOLOGICAL: Aducanumab,Biogen,,INTERVENTIONAL,"February 1, 2022","February 1, 2022","July 27, 2022"
NCT05376085,"Bioequivalence Study Between ""DA-5215 Tab"" and ""DA-5215-R Tab""",NOT_YET_RECRUITING,Healthy,DRUG: DA-5215 Tab|DRUG: DA-5215-R Tab,"Dong-A ST Co., Ltd.",,INTERVENTIONAL,May 2022,May 2022,June 2022
NCT05351086,"A Study to Assess the Safety, Tolerability, and Pharmacokinetics of PUR3100 in Health Adults",RECRUITING,Healthy,DRUG: PUR3100|DRUG: Dihydroergotamine (D.H.E 45)|OTHER: Matching Placebo for PUR3100|OTHER: Matching Placebo for D.H.E 45,Pulmatrix Inc.,,INTERVENTIONAL,"June 9, 2022","June 9, 2022","July 18, 2022"
NCT05411965,A Study to Evaluate the Pharmacokinetics After Administration of BR3003 and Co-administration of BR3003B and BR3003C.,COMPLETED,"Diabetes Mellitus, Type 2",DRUG: BR3003(T)|DRUG: BR3003B(R1)|DRUG: BR3003C(R2),"Boryung Pharmaceutical Co., Ltd",,INTERVENTIONAL,"April 28, 2022","April 28, 2022","July 3, 2022"
NCT03212989,Study to Evaluate Effects of Vorinostat and HXTC on Persistent HIV-1 Infection in HIV-Infected Subjects Started on ART,COMPLETED,HIV-1 Infection,DRUG: Vorinostat|BIOLOGICAL: HXTC,"University of North Carolina, Chapel Hill","National Heart, Lung, and Blood Institute (NHLBI)",INTERVENTIONAL,"June 27, 2017","June 27, 2017","June 7, 2022"
NCT03781219,A PhaseI Study of HL-085 Plus Vemurafenib in Solid Tumor With BRAF V600 Mutation,RECRUITING,Solid Tumor,DRUG: HL-085|DRUG: Vemurafenib,"Shanghai Kechow Pharma, Inc.",,INTERVENTIONAL,"July 1, 2018","July 1, 2018","August 1, 2022"
NCT05206019,Study to Evaluate Pharmacokinetic and Safety of Albuvirtide Between Intravenous Drip and Intravenous Injection,NOT_YET_RECRUITING,HIV/AIDS,DRUG: Albuvirtide,Frontier Biotechnologies Inc.,,INTERVENTIONAL,"February 1, 2022","February 1, 2022","July 15, 2022"
NCT05418712,A Microneurography (MNG) Study of VX-150 in Healthy Participants,RECRUITING,Pain,DRUG: Placebo|DRUG: VX-150,Vertex Pharmaceuticals Incorporated,,INTERVENTIONAL,"June 16, 2022","June 16, 2022",September 2022
NCT04278287,Chemoradiotherapy in Unresectable Esophageal Cancer,RECRUITING,Esophageal Cancer|Chemoradiotherapy|Albumin-bound Paxlitaxel|Unresectable Malignant Neoplasm,RADIATION: Radiotherapy|DRUG: Albumin-Bound Paclitaxel|DRUG: Cisplatin,Chinese Academy of Medical Sciences,,INTERVENTIONAL,"October 1, 2019","October 1, 2019",September 2022
NCT05275751,"Mechanisms of Human Heat Perception - Involvement of TRPA1, TRPV1 and TRPM3",RECRUITING,Pain,DRUG: TRPA1-inhibitor|DRUG: TRPV1-inhibitor|DRUG: TRPM3-inhibitor|DRUG: Placebo|DRUG: Chloride-channel inhibitor,Medical University of Vienna,,INTERVENTIONAL,"June 13, 2022","June 13, 2022",August 2022
NCT05129319,Jeuveau Treatment of Glabellar Lines Using OLD Versus COLD,RECRUITING,Glabellar Frown Lines,DRUG: prabotulinumtoxinA,Clinical Testing of Beverly Hills,"Evolus, Inc.",INTERVENTIONAL,"December 16, 2021","December 16, 2021",August 2022
NCT05089019,A Study Comparing Two Formulations of Selpercatinib (LY3527723) in Healthy Participants,COMPLETED,Healthy,DRUG: Selpercatinib,"Loxo Oncology, Inc.",Eli Lilly and Company,INTERVENTIONAL,"October 29, 2021","October 29, 2021","July 19, 2022"
NCT03893695,Combination of GT90001 and Nivolumab in Patients With Metastatic Hepatocellular Carcinoma(HCC),ACTIVE_NOT_RECRUITING,Metastatic Hepatocellular Carcinoma|HCC|Combinations of Drugs; Dependence,DRUG: GT90001 and Nivolumab,"Suzhou Kintor Pharmaceutical Inc,",,INTERVENTIONAL,"May 25, 2019","May 25, 2019","June 25, 2022"
NCT04051307,Dual Vaccine Trial in Myeloproliferative Neoplasms,UNKNOWN,Polycythemia Vera|Essential Thrombocythemia,DRUG: PD-L1 peptide: PD-L1 Long(19-27) Peptide sequence: FMTYWHLLNAFTVTVPKDL|DRUG: Arginase1 peptide: ArgLong2(169-206) Peptide sequence ISAKDIVYIGLRDVDPGEHYILKTLGIKYFSMTEVDRL,Inge Marie Svane,,INTERVENTIONAL,"July 10, 2019","July 10, 2019","July 10, 2022"
NCT03634683,A Study of LioCyx in Patient With Recurrent HBV-related HCC Post Liver Transplantation,WITHDRAWN,Recurrent Hepatocellular Carcinoma,BIOLOGICAL: LioCyx,Lion TCR Pte. Ltd.,,INTERVENTIONAL,August 2018,August 2018,August 2022
NCT04261387,LUT014 for the Treatment of Radiation Induced Dermatitis in Breast Cancer Patients,COMPLETED,Radiation Dermatitis,DRUG: LUT014 Gel|DRUG: Placebo for LUT014 Gel,Lutris Pharma Ltd.,,INTERVENTIONAL,"January 30, 2021","January 30, 2021","June 16, 2022"
NCT03008187,SEL24/MEN1703 in Patients With Acute Myeloid Leukemia,ACTIVE_NOT_RECRUITING,Acute Myeloid Leukemia,DRUG: SEL24/MEN1703,Menarini Group,"Medpace, Inc.|Theradex",INTERVENTIONAL,"March 10, 2017","March 10, 2017",September 2022
NCT04863287,First Clinical Study of the Safety and Blood Levels of a Human Monoclonal Antibody (2217LS) Against Lyme Disease Bacteria in Healthy People,COMPLETED,Lyme Disease,BIOLOGICAL: 2217LS|OTHER: 0.9% Sodium Chloride (NaCl),MassBiologics,Celerion,INTERVENTIONAL,"February 11, 2021","February 11, 2021","August 16, 2022"
NCT04211766,Fiber and Fish Oil Supplements for the Prevention of Colorectal Cancer,COMPLETED,Healthy Subject,DIETARY_SUPPLEMENT: Dietary Fiber|DIETARY_SUPPLEMENT: Fish Oil|OTHER: Placebo|OTHER: Placebo,Fred Hutchinson Cancer Center,National Cancer Institute (NCI)|Texas A&M University,INTERVENTIONAL,"January 5, 2021","January 5, 2021","August 16, 2022"
NCT02298348,Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,ACTIVE_NOT_RECRUITING,Neuroblastoma,DRUG: Sorafenib|DRUG: Cyclophosphamide|DRUG: Topotecan,New Approaches to Neuroblastoma Therapy Consortium,"University of California, San Francisco|Children's Hospital Los Angeles|Lucile Packard Children's Hospital|Children's Hospital Medical Center, Cincinnati|University of Michigan|Seattle Children's Hospital|Dana-Farber Cancer Institute|The Hospital for Sick Children|Children's Healthcare of Atlanta|University of Chicago|Cook Children's Health Care System|Children's Hospital Colorado",INTERVENTIONAL,April 2015,April 2015,July 2022
NCT05201651,Creatine and Motor Skill Acquisition,RECRUITING,Young Healthy Adults (no Medical Condition/Disease),DIETARY_SUPPLEMENT: Creatine Monohydrate|DIETARY_SUPPLEMENT: Maltodextrin Placebo,University of Regina,,INTERVENTIONAL,"February 10, 2022","February 10, 2022","August 31, 2022"
NCT04227600,A Study of JR-171 in Patients With Mucopolysaccharidosis I,COMPLETED,Mucopolysaccharidosis I,DRUG: JR-171,"JCR Pharmaceuticals Co., Ltd.",,INTERVENTIONAL,"September 1, 2020","September 1, 2020","August 2, 2022"
NCT05457400,ENSO 16 - Study in Healthy Subjects,RECRUITING,"Sugar; Blood, Low",DRUG: ENSO 16|DRUG: Glucose Powder,Alpha Republic GmbH,Vienna General Hospital,INTERVENTIONAL,"April 28, 2022","April 28, 2022","June 14, 2022"
NCT05001022,"A Study of ALG-020572 Drug to Evaluate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics After Single Doses in Healthy Volunteers and Multiple Doses in CHB Subjects",ACTIVE_NOT_RECRUITING,Chronic Hepatitis B,DRUG: ALG-020572|DRUG: Placebo,Aligos Therapeutics,,INTERVENTIONAL,"September 29, 2021","September 29, 2021","June 30, 2022"
NCT05203822,Tepotinib Drug-Drug Interaction Study With Itraconazole in Healthy Participants,COMPLETED,Healthy,DRUG: Tepotinib (HydroChloride hydrate)|DRUG: Itraconazole,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",,INTERVENTIONAL,"January 21, 2022","January 21, 2022","July 5, 2022"
NCT04330248,A Study of Steady-state Carbamazepine on the Single-dose of Erdafitinib Tablets in Healthy Adult Participants,COMPLETED,Healthy,DRUG: Erdafitinib|DRUG: Carbamazepine,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",,INTERVENTIONAL,"March 31, 2020","March 31, 2020","June 14, 2022"
NCT05402748,Safety and Efficacy of Injection of Human Placenta Mesenchymal Stem Cells Derived Exosomes for Treatment of Complex Anal Fistula,RECRUITING,Fistula Perianal,OTHER: placenta-MSCs derived exosomes,Tehran University of Medical Sciences,,INTERVENTIONAL,"December 22, 2021","December 22, 2021","July 22, 2022"
NCT04111666,A Phase 1 First in Human Study to Assess Safety and Tolerability of AL101,COMPLETED,Healthy,BIOLOGICAL: AL101|OTHER: Placebo,Alector Inc.,,INTERVENTIONAL,"December 14, 2019","December 14, 2019","June 9, 2022"
NCT04513548,Study of Mechanism of Action of Ligelizumab (QGE031) in Patients With Chronic Urticaria,TERMINATED,Chronic Spontaneous Urticaria|Cholinergic Urticaria|Cold Urticaria,DRUG: Ligelizumab|DRUG: Placebo,Novartis Pharmaceuticals,,INTERVENTIONAL,"August 5, 2020","August 5, 2020","July 19, 2022"
NCT05001451,Study of GDX012 in Patients With MRD Positive AML,TERMINATED,Acute Myeloid Leukemia,BIOLOGICAL: GDX012 Suspension for IV Infusion,GammaDelta Therapeutics Limited,,INTERVENTIONAL,"August 13, 2021","August 13, 2021","June 3, 2022"
NCT02768766,Intermittent Selumetinib for Uveal Melanoma,ACTIVE_NOT_RECRUITING,Uveal Melanoma,DRUG: Selumetinib,Richard D. Carvajal,AstraZeneca|Melanoma Research Alliance,INTERVENTIONAL,"February 28, 2017","February 28, 2017",September 2022
